date,open,high,low,close,volume
2021-09-01,"33,550","34,200","33,450","33,950","270,034"
2021-08-31,"33,900","33,950","33,150","33,350","343,731"
2021-08-30,"32,950","34,050","32,900","33,850","491,891"
2021-08-27,"32,550","32,900","32,000","32,700","281,091"
2021-08-26,"32,450","33,150","32,250","32,650","238,905"
2021-08-25,"32,750","32,800","32,050","32,450","211,940"
2021-08-24,"30,900","32,900","30,900","32,300","533,470"
2021-08-23,"30,500","30,850","30,150","30,500","220,796"
2021-08-20,"30,800","31,150","30,350","30,350","375,704"
2021-08-19,"31,500","31,800","30,700","30,850","396,906"
2021-08-18,"31,400","32,300","31,350","31,900","258,394"
2021-08-17,"32,650","32,750","31,550","31,600","565,939"
2021-08-13,"33,400","33,600","32,800","32,950","309,341"
2021-08-12,"33,700","33,850","33,450","33,550","228,110"
2021-08-11,"33,600","33,900","33,450","33,550","239,825"
2021-08-10,"34,250","34,250","33,650","33,750","352,868"
2021-08-09,"34,550","34,550","34,100","34,250","201,800"
2021-08-06,"34,850","34,850","34,400","34,550","213,438"
2021-08-05,"34,500","34,950","34,350","34,600","341,186"
2021-08-04,"33,850","34,400","33,850","34,300","301,624"
2021-08-03,"34,000","34,000","33,600","33,750","278,642"
2021-08-02,"34,400","34,450","33,900","34,000","251,434"
2021-07-30,"34,550","34,550","34,050","34,450","268,791"
2021-07-29,"34,650","34,950","34,350","34,500","238,588"
2021-07-28,"34,400","34,750","34,200","34,450","221,453"
2021-07-27,"34,600","34,700","34,500","34,550","171,198"
2021-07-26,"34,900","34,950","34,500","34,500","231,520"
2021-07-23,"35,250","35,250","34,900","34,900","223,920"
2021-07-22,"35,250","35,350","35,150","35,250","268,136"
2021-07-21,"35,050","35,150","34,800","35,150","234,637"
2021-07-20,"34,700","35,000","34,650","34,900","398,551"
2021-07-19,"35,400","35,500","35,050","35,200","248,112"
2021-07-16,"35,650","35,900","35,300","35,450","414,865"
2021-07-15,"35,450","35,900","35,400","35,650","419,063"
2021-07-14,"35,150","35,500","34,850","35,250","392,191"
2021-07-13,"35,300","35,450","34,950","35,100","406,271"
2021-07-12,"34,650","35,300","34,650","34,900","381,886"
2021-07-09,"34,900","35,150","34,300","34,500","704,400"
2021-07-08,"35,800","36,100","35,300","35,500","508,687"
2021-07-07,"36,300","36,350","35,800","35,950","833,674"
2021-07-06,"36,500","36,950","36,500","36,850","477,695"
2021-07-05,"36,650","36,650","36,250","36,500","607,364"
2021-07-02,"36,900","37,100","36,450","36,750","389,230"
2021-07-01,"37,600","37,600","36,600","36,850","668,318"
2021-06-30,"38,050","38,050","37,600","37,700","433,924"
2021-06-29,"38,150","38,200","37,700","37,700","287,389"
2021-06-28,"37,800","38,000","37,500","37,850","283,112"
2021-06-25,"37,600","37,950","37,350","37,800","311,285"
2021-06-24,"37,700","37,750","37,000","37,600","538,683"
2021-06-23,"39,000","39,050","37,350","37,650","894,915"
2021-06-22,"39,000","39,350","38,500","38,900","404,566"
2021-06-21,"39,800","39,850","38,650","38,800","674,612"
2021-06-18,"40,100","40,250","39,500","39,550","413,169"
2021-06-17,"39,650","40,000","39,200","39,950","378,159"
2021-06-16,"39,100","39,750","38,950","39,650","376,119"
2021-06-15,"39,100","39,300","38,550","38,950","510,402"
2021-06-14,"40,000","40,300","39,100","39,150","678,649"
2021-06-11,"40,600","40,750","39,750","39,900","711,610"
2021-06-10,"39,500","40,450","39,500","39,700","664,298"
2021-06-09,"39,900","40,000","39,450","39,600","418,865"
2021-06-08,"39,650","40,050","39,500","39,700","372,872"
2021-06-07,"39,200","39,700","38,350","39,650","667,294"
2021-06-04,"39,800","39,950","39,100","39,200","840,596"
2021-06-03,"40,300","40,600","39,700","39,900","701,440"
2021-06-02,"39,900","40,500","39,600","40,100","843,333"
2021-06-01,"39,700","40,000","39,050","39,600","803,872"
2021-05-31,"38,200","39,650","37,850","39,600","1,466,409"
2021-05-28,"38,550","38,550","37,700","37,850","607,115"
2021-05-27,"38,200","38,650","37,800","38,300","1,032,084"
2021-05-26,"36,750","38,350","36,600","38,150","2,009,431"
2021-05-25,"36,050","36,600","35,850","36,600","448,053"
2021-05-24,"36,000","36,050","35,500","35,950","250,125"
2021-05-21,"36,550","36,700","35,800","36,100","346,381"
2021-05-20,"36,250","36,550","35,800","36,450","324,436"
2021-05-18,"36,650","36,900","36,250","36,250","531,928"
2021-05-17,"35,750","36,550","35,400","36,300","948,590"
2021-05-14,"35,450","37,700","34,700","35,700","1,055,675"
2021-05-13,"34,250","35,800","34,200","35,350","521,380"
2021-05-12,"36,100","36,300","34,750","35,000","617,603"
2021-05-11,"35,750","36,200","35,450","36,100","479,184"
2021-05-10,"35,200","35,950","35,100","35,950","586,319"
2021-05-07,"34,500","35,300","34,350","35,100","347,923"
2021-05-06,"34,400","34,750","34,150","34,450","285,020"
2021-05-04,"34,650","34,700","33,550","34,400","451,151"
2021-05-03,"34,850","35,200","34,450","34,650","357,470"
2021-04-30,"35,100","35,150","34,500","34,850","286,774"
2021-04-29,"35,300","35,450","34,800","35,000","379,883"
2021-04-28,"35,700","35,950","35,350","35,400","283,840"
2021-04-27,"35,800","35,800","35,500","35,600","217,708"
2021-04-26,"35,550","35,900","35,450","35,500","278,111"
2021-04-23,"35,800","35,850","35,300","35,450","256,545"
2021-04-22,"36,000","36,000","35,800","35,900","207,412"
2021-04-21,"36,350","36,350","35,650","35,800","380,453"
2021-04-20,"35,700","36,300","35,700","36,300","467,892"
2021-04-19,"35,300","35,750","35,050","35,700","335,190"
2021-04-16,"35,200","35,450","35,050","35,350","309,135"
2021-04-15,"35,600","35,600","35,050","35,100","515,057"
2021-04-14,"36,050","36,100","35,400","35,550","670,305"
2021-04-13,"36,250","36,350","36,000","36,100","277,447"
2021-04-12,"36,050","36,250","35,700","36,200","255,743"
2021-04-09,"35,500","36,050","35,500","35,900","333,668"
2021-04-08,"36,250","36,250","35,500","35,500","698,432"
2021-04-07,"36,650","36,650","36,200","36,350","375,716"
2021-04-06,"36,450","36,650","36,200","36,650","350,828"
2021-04-05,"36,500","36,500","36,000","36,250","294,434"
2021-04-02,"36,250","36,650","35,850","36,500","456,100"
2021-04-01,"37,150","37,150","36,150","36,250","526,799"
2021-03-31,"37,100","37,150","36,600","36,850","388,881"
2021-03-30,"37,650","37,750","36,700","36,900","643,543"
2021-03-29,"38,100","38,150","37,450","37,450","441,959"
2021-03-26,"38,500","38,600","38,100","38,250","447,561"
2021-03-25,"38,300","38,550","38,050","38,400","327,670"
2021-03-24,"37,700","38,350","37,400","38,300","474,984"
2021-03-23,"37,350","38,100","37,000","37,950","649,064"
2021-03-22,"38,150","38,150","37,200","37,350","584,886"
2021-03-19,"37,750","38,400","37,400","38,200","389,427"
2021-03-18,"38,800","38,800","38,100","38,200","484,120"
2021-03-17,"38,500","38,650","37,950","38,500","563,346"
2021-03-16,"37,300","38,750","37,250","38,350","1,263,893"
2021-03-15,"36,900","37,350","36,600","37,100","665,379"
2021-03-12,"36,700","36,850","36,200","36,550","480,676"
2021-03-11,"36,900","37,000","36,050","36,450","916,678"
2021-03-10,"37,000","37,700","36,750","36,850","633,271"
2021-03-09,"37,200","37,750","36,050","37,350","1,076,326"
2021-03-08,"37,250","37,450","36,500","37,000","1,003,202"
2021-03-05,"36,100","36,900","35,350","36,700","1,299,374"
2021-03-04,"34,900","36,750","34,700","36,400","1,947,339"
2021-03-03,"34,400","35,300","34,150","35,100","818,201"
2021-03-02,"34,550","34,650","34,100","34,500","488,356"
2021-02-26,"33,850","34,250","33,700","34,250","520,249"
2021-02-25,"34,450","34,600","34,050","34,550","423,470"
2021-02-24,"34,300","35,250","33,800","33,850","1,196,243"
2021-02-23,"34,000","34,350","33,400","33,950","654,560"
2021-02-22,"34,000","34,700","34,000","34,300","370,420"
2021-02-19,"34,150","34,350","33,000","33,700","610,870"
2021-02-18,"34,550","34,900","34,100","34,100","513,513"
2021-02-17,"35,300","35,300","34,500","34,700","526,307"
2021-02-16,"34,200","35,400","34,000","35,300","910,230"
2021-02-15,"34,550","34,700","33,700","33,950","613,019"
2021-02-10,"34,400","34,450","33,500","33,900","470,082"
2021-02-09,"35,350","35,450","34,100","34,150","686,156"
2021-02-08,"34,700","35,450","34,450","35,100","1,013,121"
2021-02-05,"32,950","34,600","32,700","34,400","993,285"
2021-02-04,"32,450","32,950","32,100","32,650","424,768"
2021-02-03,"32,650","32,900","32,300","32,450","350,609"
2021-02-02,"33,000","33,000","32,450","32,600","373,079"
2021-02-01,"31,550","32,800","31,450","32,750","329,561"
2021-01-29,"32,700","32,900","31,400","31,900","684,539"
2021-01-28,"33,000","33,100","32,500","32,650","594,733"
2021-01-27,"33,950","34,200","33,500","33,600","357,322"
2021-01-26,"34,600","34,650","33,700","33,700","614,153"
2021-01-25,"35,000","35,400","34,300","34,600","546,101"
2021-01-22,"33,950","34,950","33,800","34,850","828,444"
2021-01-21,"33,950","34,350","33,750","33,800","432,772"
2021-01-20,"34,200","34,250","33,550","33,750","665,569"
2021-01-19,"34,100","34,450","33,900","34,100","496,978"
2021-01-18,"35,300","35,400","34,000","34,000","783,089"
2021-01-15,"37,000","37,400","35,750","35,750","839,374"
2021-01-14,"35,650","36,800","35,600","36,600","1,070,359"
2021-01-13,"36,050","36,100","35,250","35,500","893,979"
2021-01-12,"34,050","35,450","33,550","35,200","1,059,524"
2021-01-11,"34,850","34,850","33,550","34,050","1,210,762"
2021-01-08,"36,250","36,250","34,550","34,800","1,245,262"
2021-01-07,"35,100","36,100","34,500","35,400","1,811,548"
2021-01-06,"33,550","35,000","32,650","34,300","2,550,567"
2021-01-05,"32,050","33,350","32,000","33,200","1,254,732"
2021-01-04,"31,950","32,000","31,500","32,000","462,233"
2020-12-30,"31,900","32,000","31,800","31,850","339,470"
2020-12-29,"32,100","32,300","31,800","32,000","293,844"
2020-12-28,"31,750","32,450","31,600","32,250","523,522"
2020-12-24,"31,400","31,850","31,400","31,650","300,735"
2020-12-23,"31,650","31,800","31,300","31,450","335,938"
2020-12-22,"32,100","32,100","31,550","31,600","423,607"
2020-12-21,"32,200","32,250","31,900","32,050","263,753"
2020-12-18,"31,800","32,450","31,600","32,100","383,193"
2020-12-17,"31,950","32,100","31,500","31,800","382,650"
2020-12-16,"32,050","32,250","31,900","32,000","394,450"
2020-12-15,"32,250","32,600","31,750","31,900","430,959"
2020-12-14,"32,600","32,600","32,050","32,200","369,228"
2020-12-11,"33,500","33,550","32,400","32,700","811,103"
2020-12-10,"31,250","33,050","31,100","33,000","1,520,626"
2020-12-09,"31,300","31,600","30,900","31,350","510,127"
2020-12-08,"31,550","31,850","31,250","31,300","383,256"
2020-12-07,"31,800","31,800","31,250","31,500","462,436"
2020-12-04,"32,500","32,550","31,550","31,800","537,664"
2020-12-03,"31,300","32,500","31,100","32,400","691,392"
2020-12-02,"31,900","31,900","31,150","31,300","713,261"
2020-12-01,"32,100","32,450","31,600","31,850","471,937"
2020-11-30,"32,500","32,650","31,950","31,950","499,238"
2020-11-27,"32,550","32,550","32,300","32,450","312,295"
2020-11-26,"32,400","33,000","32,400","32,600","292,430"
2020-11-25,"33,150","33,650","32,500","32,650","642,252"
2020-11-24,"33,500","33,650","32,450","32,950","698,698"
2020-11-23,"33,500","33,700","33,400","33,500","449,638"
2020-11-20,"33,400","33,950","33,400","33,700","353,239"
2020-11-19,"33,800","34,000","33,500","33,500","298,709"
2020-11-18,"33,600","34,350","33,600","33,750","311,541"
2020-11-17,"34,250","34,450","33,350","33,600","472,010"
2020-11-16,"34,000","34,900","33,800","34,200","591,424"
2020-11-13,"34,600","34,750","33,100","33,500","825,179"
2020-11-12,"34,700","34,950","34,300","34,750","222,682"
2020-11-11,"34,700","35,100","34,600","34,650","232,801"
2020-11-10,"35,100","35,250","34,650","34,700","283,239"
2020-11-09,"34,700","35,300","34,650","34,650","169,029"
2020-11-06,"35,150","35,350","34,550","34,600","147,294"
2020-11-05,"34,700","35,250","34,700","35,150","192,602"
2020-11-04,"34,150","34,850","34,000","34,800","301,572"
2020-11-03,"33,700","34,350","33,700","33,700","209,862"
2020-11-02,"33,400","34,050","33,350","33,650","143,403"
2020-10-30,"33,500","34,050","33,500","33,500","220,441"
2020-10-29,"33,800","34,000","33,450","33,850","290,663"
2020-10-28,"33,600","34,500","33,550","34,500","183,661"
2020-10-27,"33,850","34,400","32,800","33,750","421,978"
2020-10-26,"34,850","35,300","33,900","33,950","388,176"
2020-10-23,"36,350","36,350","34,800","35,100","501,806"
2020-10-22,"37,150","37,200","36,100","36,250","267,386"
2020-10-21,"37,000","37,450","36,850","37,350","168,317"
2020-10-20,"37,350","37,450","36,400","37,200","268,122"
2020-10-19,"38,200","38,250","37,450","37,500","254,927"
2020-10-16,"38,900","38,900","37,600","37,950","303,535"
2020-10-15,"38,000","39,000","37,600","38,800","311,058"
2020-10-14,"38,650","38,800","37,750","38,500","383,338"
2020-10-13,"37,950","38,800","37,950","38,700","419,453"
2020-10-12,"38,600","39,200","37,750","37,900","618,638"
2020-10-08,"38,000","38,100","37,650","37,700","381,025"
2020-10-07,"37,850","38,300","37,500","37,550","333,540"
2020-10-06,"36,550","38,800","36,300","38,300","1,047,653"
2020-10-05,"36,550","36,550","35,100","35,950","346,557"
2020-09-29,"36,600","36,600","35,750","36,250","283,391"
2020-09-28,"33,450","36,100","33,450","35,950","493,071"
2020-09-25,"34,400","34,900","33,300","33,350","374,563"
2020-09-24,"34,100","34,500","33,550","33,800","559,094"
2020-09-23,"34,850","35,550","33,400","34,900","519,029"
2020-09-22,"36,000","36,100","34,650","34,900","421,130"
2020-09-21,"37,150","37,250","35,650","36,050","401,320"
2020-09-18,"37,200","37,450","36,750","36,850","367,946"
2020-09-17,"37,950","38,150","37,100","37,150","290,974"
2020-09-16,"38,500","38,500","37,800","37,950","269,765"
2020-09-15,"37,400","38,700","37,350","38,500","579,275"
2020-09-14,"37,700","37,750","37,100","37,300","227,172"
2020-09-11,"37,550","37,700","37,000","37,350","217,832"
2020-09-10,"37,350","37,900","37,100","37,600","386,453"
2020-09-09,"37,700","37,750","37,000","37,050","412,048"
2020-09-08,"36,650","39,300","36,650","38,050","1,273,006"
2020-09-07,"36,750","37,400","36,550","36,700","431,579"
2020-09-04,"37,050","37,700","37,000","37,300","457,976"
2020-09-03,"38,050","38,500","37,800","38,100","434,673"
2020-09-02,"38,600","38,650","37,300","38,200","551,775"
2020-09-01,"36,850","38,200","36,400","38,100","623,741"
2020-08-31,"36,600","37,700","36,450","36,900","717,509"
2020-08-28,"37,000","37,450","36,300","36,650","630,117"
2020-08-27,"37,800","37,800","36,100","37,000","1,255,011"
2020-08-26,"39,250","39,250","37,750","37,900","651,013"
2020-08-25,"39,150","39,150","38,450","39,000","458,368"
2020-08-24,"38,800","39,050","37,400","38,900","544,482"
2020-08-21,"39,150","39,400","37,700","38,900","642,292"
2020-08-20,"38,600","40,300","38,250","38,850","881,337"
2020-08-19,"39,350","40,250","38,600","38,900","730,813"
2020-08-18,"41,700","41,750","38,500","39,300","1,327,397"
2020-08-14,"44,600","45,200","40,500","41,350","1,758,970"
2020-08-13,"45,050","45,750","43,900","44,100","803,274"
2020-08-12,"44,950","45,950","44,100","44,950","675,316"
2020-08-11,"44,300","45,150","43,850","44,800","471,469"
2020-08-10,"44,050","44,900","43,550","44,300","488,329"
2020-08-07,"44,650","44,750","43,500","44,300","553,619"
2020-08-06,"46,000","46,050","44,400","44,600","806,005"
2020-08-05,"43,950","46,750","43,900","46,500","1,444,373"
2020-08-04,"43,500","43,700","42,750","43,650","422,821"
2020-08-03,"41,900","43,750","41,400","43,500","769,702"
2020-07-31,"41,300","41,950","40,700","41,550","558,864"
2020-07-30,"42,550","42,550","41,050","41,550","539,444"
2020-07-29,"41,950","42,550","41,750","42,550","227,629"
2020-07-28,"42,950","43,250","42,000","42,200","364,298"
2020-07-27,"41,800","43,150","41,700","42,950","459,433"
2020-07-24,"41,900","42,200","41,450","41,600","298,905"
2020-07-23,"42,850","42,900","42,150","42,300","309,510"
2020-07-22,"42,500","43,250","42,000","42,900","538,119"
2020-07-21,"41,600","43,000","41,500","42,400","718,745"
2020-07-20,"41,150","41,900","39,750","41,200","1,092,949"
2020-07-17,"42,450","42,900","41,500","42,300","569,282"
2020-07-16,"43,250","43,650","42,050","42,350","585,996"
2020-07-15,"44,150","44,400","42,800","43,350","503,585"
2020-07-14,"43,950","44,500","43,100","43,650","461,858"
2020-07-13,"45,400","45,450","43,900","44,100","583,219"
2020-07-10,"43,700","45,550","43,300","45,300","843,773"
2020-07-09,"44,050","44,600","43,200","43,400","654,442"
2020-07-08,"45,400","45,600","44,050","44,050","536,749"
2020-07-07,"43,600","45,950","42,850","45,600","712,358"
2020-07-06,"43,700","43,700","42,850","43,150","279,673"
2020-07-03,"43,350","44,000","42,700","43,000","295,567"
2020-07-02,"42,000","43,650","42,000","43,250","352,739"
2020-07-01,"43,900","44,200","42,200","42,450","616,057"
2020-06-30,"44,300","44,400","43,100","43,800","458,621"
2020-06-29,"43,950","44,450","43,250","43,550","497,713"
2020-06-26,"45,100","45,150","43,800","44,350","447,209"
2020-06-25,"44,600","45,700","44,050","44,100","541,638"
2020-06-24,"46,000","47,050","44,950","45,000","773,520"
2020-06-23,"45,000","46,350","44,250","45,900","759,936"
2020-06-22,"42,900","44,800","42,600","44,550","571,094"
2020-06-19,"43,150","43,550","42,500","43,000","561,898"
2020-06-18,"42,100","43,200","41,750","42,650","533,167"
2020-06-17,"42,250","43,600","41,900","42,250","839,797"
2020-06-16,"42,650","43,950","41,700","42,500","1,186,563"
2020-06-15,"40,950","43,600","39,900","41,000","2,153,460"
2020-06-12,"37,500","40,800","37,300","40,200","1,447,951"
2020-06-11,"39,000","39,200","38,050","39,150","740,017"
2020-06-10,"37,250","39,250","36,950","39,000","1,007,368"
2020-06-09,"37,150","37,700","36,800","37,250","475,147"
2020-06-08,"38,050","38,050","36,700","37,150","685,816"
2020-06-05,"38,000","38,300","37,500","37,850","387,318"
2020-06-04,"38,050","38,900","37,850","38,000","631,179"
2020-06-03,"39,100","39,150","37,700","38,050","779,614"
2020-06-02,"39,000","39,500","38,500","38,800","641,082"
2020-06-01,"36,000","38,750","36,000","38,750","1,407,345"
2020-05-29,"35,900","36,750","35,900","36,000","576,566"
2020-05-28,"36,200","36,300","35,500","35,800","548,493"
2020-05-27,"35,900","36,450","35,800","36,400","373,464"
2020-05-26,"36,450","36,500","35,750","36,100","409,419"
2020-05-25,"36,000","36,500","35,700","36,400","422,582"
2020-05-22,"35,900","36,350","35,300","35,800","360,044"
2020-05-21,"36,500","36,500","35,600","35,850","469,389"
2020-05-20,"36,500","37,050","35,750","36,200","547,478"
2020-05-19,"36,500","36,550","35,250","35,400","605,488"
2020-05-18,"36,800","37,700","35,450","36,050","1,110,644"
2020-05-15,"36,100","37,300","35,000","36,000","1,172,980"
2020-05-14,"34,350","36,200","34,000","35,900","596,496"
2020-05-13,"34,850","35,250","34,000","34,500","472,627"
2020-05-12,"34,650","35,200","34,000","35,000","407,805"
2020-05-11,"33,500","34,750","33,100","34,550","615,499"
2020-05-08,"35,100","35,800","33,500","34,200","685,543"
2020-05-07,"35,000","35,750","34,300","35,200","561,467"
2020-05-06,"33,350","34,950","32,700","34,450","684,259"
2020-05-04,"32,400","34,150","31,750","33,000","633,360"
2020-04-29,"31,750","32,900","31,400","32,450","475,846"
2020-04-28,"31,750","32,450","31,400","31,800","391,156"
2020-04-27,"31,300","32,050","30,900","31,800","633,962"
2020-04-24,"29,900","31,200","29,550","31,150","906,931"
2020-04-23,"29,450","29,700","29,250","29,600","256,848"
2020-04-22,"28,400","29,600","28,150","29,500","374,168"
2020-04-21,"29,050","29,050","28,300","28,750","327,164"
2020-04-20,"28,700","29,400","28,700","29,100","266,514"
2020-04-17,"29,250","29,650","29,000","29,050","290,703"
2020-04-16,"28,750","29,450","28,500","29,200","231,729"
2020-04-14,"29,000","29,700","28,950","29,000","271,277"
2020-04-13,"29,050","29,450","28,550","28,800","233,580"
2020-04-10,"29,550","29,550","28,600","29,050","336,925"
2020-04-09,"29,750","29,800","29,000","29,550","485,278"
2020-04-08,"29,400","30,050","28,900","29,450","421,981"
2020-04-07,"29,900","30,250","28,800","29,200","575,230"
2020-04-06,"28,100","29,800","28,100","29,500","647,069"
2020-04-03,"26,950","28,250","26,800","28,050","484,075"
2020-04-02,"26,800","27,350","26,050","26,950","336,491"
2020-04-01,"26,850","27,550","26,550","26,950","526,773"
2020-03-31,"26,550","27,300","26,150","26,850","650,506"
2020-03-30,"25,300","26,600","24,650","25,850","486,069"
2020-03-27,"26,600","26,700","24,750","25,500","622,261"
2020-03-26,"24,800","25,950","24,300","25,450","744,386"
2020-03-25,"23,600","24,750","22,850","24,400","794,298"
2020-03-24,"22,300","23,050","21,900","22,700","617,814"
2020-03-23,"22,350","22,850","21,450","21,700","450,741"
2020-03-20,"21,800","24,200","21,150","24,200","776,466"
2020-03-19,"25,000","25,300","21,400","22,000","707,613"
2020-03-18,"25,500","26,550","24,300","24,600","593,689"
2020-03-17,"24,000","26,400","24,000","25,300","645,186"
2020-03-16,"25,500","26,100","24,850","25,300","753,805"
2020-03-13,"24,500","26,200","23,200","24,850","1,080,618"
2020-03-12,"26,550","27,100","25,550","26,400","709,537"
2020-03-11,"28,850","28,850","27,200","27,450","580,620"
2020-03-10,"27,500","28,850","27,400","28,550","613,456"
2020-03-09,"28,950","29,100","27,500","28,000","677,198"
2020-03-06,"29,250","29,900","28,400","29,250","604,152"
2020-03-05,"28,750","29,950","28,500","29,250","796,260"
2020-03-04,"26,950","28,950","26,750","28,750","905,779"
2020-03-03,"26,850","28,150","26,800","26,800","622,528"
2020-03-02,"26,550","27,000","26,150","26,350","607,259"
2020-02-28,"26,800","27,200","26,400","26,600","630,631"
2020-02-27,"27,800","28,300","27,300","27,600","393,450"
2020-02-26,"28,050","28,350","27,550","27,950","532,727"
2020-02-25,"28,000","28,950","27,000","28,650","492,418"
2020-02-24,"29,300","29,500","27,900","28,300","1,048,672"
2020-02-21,"30,800","31,200","29,900","30,000","639,772"
2020-02-20,"31,550","32,750","31,000","31,250","955,674"
2020-02-19,"29,300","31,750","29,250","31,500","1,005,051"
2020-02-18,"29,550","29,550","29,050","29,250","223,376"
2020-02-17,"29,700","30,350","29,400","29,700","261,958"
2020-02-14,"29,200","29,900","29,200","29,500","220,440"
2020-02-13,"29,850","29,850","29,300","29,400","380,234"
2020-02-12,"29,550","29,750","28,950","29,750","392,377"
2020-02-11,"30,050","30,300","29,100","29,300","409,220"
2020-02-10,"30,200","30,200","29,500","29,850","219,724"
2020-02-07,"29,700","31,450","29,700","30,050","674,432"
2020-02-06,"31,150","31,350","29,000","29,600","702,275"
2020-02-05,"30,800","31,200","30,500","30,650","234,261"
2020-02-04,"30,250","31,100","30,250","30,800","279,079"
2020-02-03,"29,100","30,550","29,000","30,300","440,195"
2020-01-31,"31,350","31,550","30,000","30,000","580,766"
2020-01-30,"31,900","32,000","31,450","31,550","226,414"
2020-01-29,"31,600","32,250","31,250","31,850","290,952"
